Customer_ID,product_name,price,rating,reviews,availability,purchase_date,quantity
C074,"GIGABYTE GeForce RTX 4060 Gaming OC 8G Graphics Card, 3X WINDFORCE Fans, 8GB 128-bit GDDR6, GV-N4060GAMING OC-8GD Video Card",$304.97,4.7 out of 5 stars,379 ratings,,"Reviewed in the United States on September 24, 2024",2K+ bought in past month
C075,"Razer Barracuda X Wireless Gaming & Mobile Headset (PC, PlayStation, Switch, Android, iOS): 2.4GHz Wireless + Bluetooth - Lightweight - 40mm Drivers - Detachable Mic - 50 Hr Battery - Mercury White",$79.99,4.1 out of 5 stars,"3,182 ratings",In Stock,"Reviewed in the United States on June 27, 2024",1K+ bought in past month
C076,"Sceptre Curved 27-inch Gaming Monitor 1500R 100Hz HDMI X2 DisplayPort 1ms 100% sRGB, Build-in Speakers Machine Black 2024 (C275W-FW100T)",$99.97,4.6 out of 5 stars,"23,272 ratings",,"Reviewed in the United States on December 5, 2024",8K+ bought in past month
C077,"Womier S-K80 75% Keyboard with Color Multimedia Display Mechanical Gaming Keyboard, Wired Hot Swappable Keyboard, Gasket Mount RGB Custom Keyboard, Pre-lubed Stabilizer for Mac/Win, Black Kanagawa",$55.98,4.6 out of 5 stars,585 ratings,In Stock,"Reviewed in the United States on November 4, 2024",4K+ boughtin past month
C078,150W Laptop Charger for HP Zbook G3 G4 G5 G6 G7 G8 ADP150 xb 917677003 775626003 TPN CA11 TPN DA03 Pavilion Gaming 15 17 Laptop Power Supply Adapter Cord,$29.99,4.4 out of 5 stars,15 ratings,In Stock,"Reviewed in the United States on October 10, 2024",
C079,180W Zephyrus ADP-180TB H Charger for ASUS ROG Zephyrus G14 G15 Gaming Laptop,$35.99,4.2 out of 5 stars,43 ratings,In Stock,"Reviewed in the United States on January 16, 2020",
C080,180W Laptop Charger for MSI WF76 GE62VR GS63 GS73VR GS63VR GF63 GF65 Thin GF75 GS66 Stealth Gaming Laptop Power Adapter Supply Cord,$38.99,4.3 out of 5 stars,84 ratings,In Stock,"Reviewed in the United States on April 15, 2019",
C081,New 180W AC Charger for Msi GF63 Thin GS40 GS60 GS70 GS65 GL62M GL72M GE60 GE62 GE72 GS73VR Gaming Laptop Adapter,$32.99,4.1 out of 5 stars,4 ratings,In Stock,"Reviewed in the United States on October 28, 2024",
C082,"230W Charger Fit for MSI GE66 GE76 Raider GP66 GP76, Leopard Gaming Laptop Adapter Power Supply Cord",$79.99,5.0 out of 5 stars,7 ratings,In Stock,"Reviewed in the United States on September 21, 2024",
C083,180W Zephyrus Charger for Asus ROG Zephyrus G14 G15 F15 F17 GA401 GA401II GA401IV GA502DU GA502D GA502 GA502IU F15 FX506HC FX506LU ADP-180TB H Gaming Laptop Power Supply,$35.99,4.1 out of 5 stars,11 ratings,In Stock,"Reviewed in the United States on May 20, 2024",
C084,"Delton 35X Bluetooth Computer Headset with Noise Cancelling Mic, Fast Charging Dock, Auto Pair USB Dongle for PC, Laptop, MacBook, Compatible with MS Teams, Google Meet, Zoom, Slack, and More - Black",$77.91,3.8 out of 5 stars,53 ratings,In Stock,"Reviewed in the United States on October 4, 2024",
C085,180W AC Charger Fit for GIGABYTE G5 G6 G7 G6X 11th 12th (2023 2024) KF MF ME MD KF5 MF5 GE GD KF KC KD KE 9KG 9MG Gaming Laptop Computer Charger AC Power Supply Adapter Cord,$35.99,3.2 out of 5 stars,2 ratings,Only 11 left in stock - order soon.,"Reviewed in the United States on October 19, 2024",
